Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,2376,2924,18076,0,776,636
1,460512,476880,6906828,0,407536,74300
3,672288,675440,6900088,0,411364,279028
4,866340,871252,6900088,0,411364,473960
5,1074236,1081320,6900088,0,411364,683132
6,1278316,1278316,6900088,0,411364,880664
7,1477928,1482764,6900088,0,411364,1081036
8,1683168,1687724,6900088,0,411364,1277880
10,1881060,1885028,6900088,0,411364,1474360
11,2071604,2073624,6900088,0,411364,1668432
12,2097504,2099340,6900088,0,411364,1686436
13,2096748,2099508,6900088,0,411364,1685400
14,2096672,2099508,6900088,0,411364,1686244
15,2096840,2099508,6900088,0,411364,1686236
17,2096420,2099508,6900088,0,411364,1686256
18,2096928,2099508,6900088,0,411364,1685944
19,2083240,2099508,6900088,0,411416,1665000
20,2085272,2099508,6900088,0,411416,1670784
21,2088656,2099508,6900088,0,411416,1682984
22,2080808,2099508,6900088,0,411416,1676392
23,2089252,2099508,6901640,0,413356,1668820
24,2083220,2099508,6901640,0,413356,1670912
26,2077908,2099508,6901640,0,413356,1669676
27,2088344,2099508,6901640,0,413356,1668448
28,2082636,2099508,6901640,0,413356,1668712
29,2085976,2099508,6901640,0,413356,1664772
30,2080624,2099508,6901640,0,413356,1670896
31,2090012,2099508,6901640,0,413356,1667936
33,2079308,2099508,6901640,0,413356,1666392
34,2074952,2099508,6901640,0,413356,1663388
35,2088548,2099508,6901640,0,413356,1672544
36,2085212,2099508,6901640,0,413356,1667384
37,2084252,2099508,6901640,0,413356,1671544
38,2083512,2099508,6901640,0,413356,1668240
39,2088948,2099508,6901640,0,413356,1666944
41,2085020,2099508,6901640,0,413356,1669792
42,2083016,2099508,6901640,0,413356,1676060
43,2084408,2099508,6901640,0,413356,1674584
44,2082752,2099508,6901640,0,413356,1667592
45,2082068,2099508,6901640,0,413356,1669536
46,2082336,2099508,6901640,4,413352,1664664
47,2082312,2099508,6901640,4,413352,1666828
49,2081348,2099508,6901640,4,413352,1668932
50,2083240,2099508,6901640,4,413352,1662028
51,2084812,2099508,6901640,4,413352,1667796
52,2085940,2099508,6901640,4,413352,1673024
53,2085876,2099508,6901640,4,413352,1665900
54,2077496,2099508,6901640,4,413352,1671776
56,2091496,2099508,6901640,4,413352,1674576
57,2087940,2099508,6901640,4,413352,1671036
58,2083424,2099508,6901640,4,413352,1679080
59,2088916,2099508,6901640,4,413352,1665528
60,2082256,2099508,6901640,4,413352,1669248
61,2087416,2099508,6901640,4,413352,1668136
62,2082336,2099508,6901640,4,413352,1664048
64,2081476,2099508,6901640,4,413352,1672016
65,2082812,2099508,6901640,4,413352,1674152
66,2081348,2099508,6901640,4,413352,1677064
67,2085816,2099508,6901640,4,413352,1668736
68,2085668,2099508,6901640,4,413352,1665088
69,2081720,2099508,6901640,4,413352,1674316
70,2083320,2099508,6901640,4,413352,1664100
72,2080488,2099508,6901640,4,413352,1663384
73,2083008,2099508,6901640,4,413352,1666700
74,2083500,2099508,6901640,4,413352,1676228
75,2090620,2099508,6901640,4,413352,1673324
76,2078692,2099508,6901640,4,413352,1662980
77,2079692,2099508,6901640,12,413344,1666036
78,2088316,2099508,6901640,12,413344,1669340
80,2076828,2099508,6901640,12,413344,1670216
81,2075280,2099508,6901640,12,413344,1670500
82,2088208,2099508,6901640,12,413344,1667408
83,2085360,2099508,6901640,12,413344,1666416
84,2082428,2099508,6901640,12,413344,1678096
85,2084880,2099508,6901640,12,413344,1674772
86,2087108,2099508,6901640,12,413344,1662776
88,2084324,2099508,6901640,12,413344,1670248
89,2085472,2099508,6901640,12,413344,1673204
90,2084356,2099508,6901640,12,413344,1666268
91,2077216,2099508,6901640,12,413344,1663816
92,2085420,2099508,6901640,12,413344,1667564
93,2082196,2099508,6901640,12,413344,1666296
95,2088488,2099508,6901640,12,413344,1673640
96,2080724,2099508,6901640,12,413344,1672644
97,2081560,2099508,6901640,12,413344,1678208
98,2076916,2099508,6901640,12,413344,1672684
99,2084488,2099508,6901640,12,413344,1673740
100,2085548,2099508,6901640,12,413344,1666680
101,2079304,2099508,6901640,12,413344,1669836
103,2083888,2099508,6901640,12,413344,1667216
104,2086804,2099508,6901640,12,413344,1670192
105,2085488,2099508,6901640,12,413344,1660664
106,2078112,2099508,6901640,12,413344,1671920
107,2086916,2099508,6901640,12,413344,1667228
108,2085580,2099508,6901640,12,413344,1664208
