Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,2592,3612,18076,0,780,824
1,164304,172212,6540308,0,129168,74576
2,572972,572972,6963924,0,467516,105456
4,680428,680428,6963924,0,475576,204852
5,763080,774092,6963924,0,475576,302064
6,861420,862040,6963924,0,475576,402164
7,959992,959992,6963924,0,475576,495452
8,1059912,1059912,6963924,0,475576,588456
10,1155652,1155652,6963924,0,475576,680076
11,1256120,1256312,6963924,0,475576,780736
12,1355640,1355640,6963924,0,475576,885988
13,1451292,1453892,6963924,0,475576,978316
14,1528632,1534664,6963924,0,475576,1077148
16,1635736,1639240,6963924,0,475576,1175920
17,1729052,1738544,6963924,0,475576,1274812
18,1821272,1828012,6963924,0,475576,1369676
19,1922508,1922508,6963924,0,475576,1471968
20,2021348,2021348,6963924,0,475576,1551556
22,2098864,2098888,6963924,28,475548,1623148
23,2097660,2099148,6963924,28,475548,1621984
24,2097912,2099148,6963924,28,475548,1621848
25,2096976,2099148,6963924,28,475548,1621428
27,2096676,2099148,6963924,28,475548,1620816
28,2095908,2099148,6963924,28,475548,1621204
29,2097912,2099148,6963924,28,475548,1622364
30,2097336,2099148,6963924,28,475548,1621396
31,2097068,2099148,6963924,28,475548,1621520
33,2097340,2099148,6963924,28,475548,1621724
34,2097896,2099148,6963924,28,475548,1621656
35,2098076,2099148,6963924,28,475548,1621048
36,2085116,2099148,6963924,24,475552,1608224
37,2087944,2099148,6963924,24,475552,1612756
38,2084252,2099148,6963924,24,475552,1611368
40,2088848,2099148,6963924,24,475552,1617532
41,2078396,2099148,6963924,8,475568,1614872
42,2080584,2099148,6963924,8,475568,1610664
43,2090080,2099148,6963924,8,475568,1614072
44,2083772,2099148,6963924,8,475568,1616316
45,2085484,2099148,6963924,8,475568,1603764
46,2079120,2099148,6963924,8,475568,1610388
48,2079236,2099148,6963924,8,475568,1611124
49,2087212,2099148,6963924,8,475568,1608736
50,2080436,2099148,6963924,8,475568,1598788
51,2084472,2099148,6963924,8,475568,1611832
52,2089232,2099148,6963924,8,475568,1602340
53,2083192,2099148,6963924,8,475568,1604436
54,2085448,2099148,6963924,8,475568,1610972
56,2079004,2099148,6963924,8,475568,1611196
57,2085196,2099148,6963924,8,475568,1606268
58,2082412,2099148,6963924,8,475568,1597372
59,2078764,2099148,6963924,8,475568,1604624
60,2079736,2099148,6963924,8,475568,1607496
61,2083536,2099148,6963924,8,475568,1608836
63,2085288,2099148,6963924,8,475568,1612568
64,2087936,2099148,6963924,8,475568,1608644
65,2079448,2099148,6963924,8,475568,1606368
66,2083220,2099148,6963924,8,475568,1609068
67,2084388,2099148,6963924,8,475568,1611064
68,2087316,2099148,6963924,8,475568,1608644
69,2087752,2099148,6963924,8,475568,1604432
71,2081992,2099148,6963924,8,475568,1602632
72,2083600,2099148,6963924,8,475568,1610512
73,2084888,2099148,6963924,8,475568,1603432
74,2087648,2099148,6963924,8,475568,1608252
75,2076416,2099148,6963924,8,475568,1612576
76,2081468,2099148,6963924,8,475568,1606016
78,2083560,2099148,6963924,8,475568,1605264
79,2082688,2099148,6963924,8,475568,1612224
80,2084992,2099148,6963924,8,475568,1608092
81,2081472,2099148,6963924,8,475568,1611600
82,2086456,2099148,6963924,8,475568,1605460
83,2084568,2099148,6963924,8,475568,1605200
84,2079184,2099148,6963924,8,475568,1611856
86,2089260,2099148,6963924,8,475568,1606028
87,2088348,2099148,6963924,8,475568,1604220
88,2082096,2099148,6963924,8,475568,1609116
89,2076704,2099148,6963924,8,475568,1607904
90,2082872,2099148,6963924,8,475568,1614244
91,2090504,2099148,6963924,8,475568,1603808
93,2081744,2099148,6963924,8,475568,1609368
94,2087912,2099148,6963924,8,475568,1612948
95,2089388,2099148,6963924,8,475568,1612428
96,2082296,2099148,6963924,8,475568,1616624
97,2085528,2099148,6963924,8,475568,1613192
98,2080388,2099148,6963924,8,475568,1608672
99,2081620,2099148,6963924,8,475568,1612440
101,2077432,2099148,6963924,8,475568,1599832
102,2084392,2099148,6963924,8,475568,1609872
103,2081068,2099148,6963924,8,475568,1607308
104,2088668,2099148,6963924,8,475568,1606676
105,2081184,2099148,6963924,8,475568,1606236
106,2089332,2099148,6963924,8,475568,1604900
107,2089252,2099148,6963924,8,475568,1609604
109,2086628,2099148,6963924,8,475568,1604056
110,2085584,2099148,6963924,8,475568,1610292
111,2086868,2099148,6963924,8,475568,1606344
112,2081780,2099148,6963924,8,475568,1607896
113,2083544,2099148,6963924,8,475568,1607280
114,2080844,2099148,6963924,8,475568,1607376
115,2084804,2099148,6963924,8,475568,1600104
117,2083060,2099148,6963924,8,475568,1607508
118,2079316,2099148,6963924,8,475568,1603608
119,2081372,2099148,6963924,8,475568,1610488
120,2079740,2099148,6963924,8,475568,1606620
121,2087324,2099148,6963924,8,475568,1601632
122,2078520,2099148,6963924,8,475568,1613432
123,2081864,2099148,6963924,8,475568,1615692
125,2081136,2099148,6963924,8,475568,1607112
126,2086400,2099148,6963924,8,475568,1603328
127,2086324,2099148,6963924,8,475568,1613744
128,2080376,2099148,6963924,8,475568,1608708
129,2083480,2099148,6963924,8,475568,1613776
130,2078228,2099148,6963924,8,475568,1608580
132,2078560,2099148,6963924,8,475568,1605848
133,2083752,2099148,6963924,8,475568,1608056
134,2080456,2099148,6963924,8,475568,1605056
135,2077776,2099148,6963924,8,475568,1609764
136,2085684,2099148,6963924,8,475568,1609712
137,2085316,2099148,6963924,8,475568,1606824
138,2086784,2099148,6963924,8,475568,1610880
140,2081360,2099148,6963924,8,475568,1612668
141,2079364,2099148,6963924,8,475568,1609236
142,2078440,2099148,6963924,8,475568,1608348
143,2085368,2099148,6963924,8,475568,1599504
144,2079936,2099148,6963924,8,475568,1609056
145,2080272,2099148,6963924,8,475568,1605332
147,2087932,2099148,6963924,8,475568,1609576
148,2083524,2099148,6963924,8,475568,1604776
149,2078508,2099148,6963924,8,475568,1607812
150,2078932,2099148,6963924,8,475568,1603464
151,2079300,2099148,6963924,8,475568,1606960
152,2083700,2099148,6963924,8,475568,1605096
153,2088880,2099148,6963924,8,475568,1603032
155,2082576,2099148,6963924,8,475568,1616340
156,2079680,2099148,6963924,8,475568,1606836
157,2082872,2099148,6963924,8,475568,1607512
158,2087632,2099148,6963924,8,475568,1609392
159,2084412,2099148,6963924,8,475568,1612636
160,2079156,2099148,6963924,8,475568,1610016
162,2082632,2099148,6963924,8,475568,1601984
163,2079236,2099148,6963924,8,475568,1607264
164,2073300,2099148,6963924,8,475568,1610052
165,2083756,2099148,6963924,8,475568,1610368
166,2079412,2099148,6963924,8,475568,1615532
167,2082672,2099148,6963924,8,475568,1607872
168,2085524,2099148,6963924,8,475568,1603728
170,2084972,2099148,6963924,8,475568,1607492
171,2074976,2099148,6963924,8,475568,1599860
172,2083784,2099148,6963924,8,475568,1601376
173,2083168,2099148,6963924,8,475568,1609960
174,2088900,2099148,6963924,8,475568,1606304
175,2086696,2099148,6963924,8,475568,1609748
177,2083696,2099148,6963924,8,475568,1607168
178,2082496,2099148,6963924,8,475568,1612232
179,2084376,2099148,6963924,8,475568,1600036
180,2084044,2099148,6963924,8,475568,1604172
181,2091972,2099148,6963924,8,475568,1606344
182,2079668,2099148,6963924,8,475568,1604096
183,2081296,2099148,6963924,8,475568,1608596
185,2075244,2099148,6963924,8,475568,1606716
186,2088080,2099148,6963924,8,475568,1614092
187,2088012,2099148,6963924,8,475568,1608924
188,2090788,2099148,6963924,8,475568,1611884
189,2075488,2099148,6963924,8,475568,1606752
190,2089096,2099148,6963924,8,475568,1607572
191,2091316,2099148,6963924,8,475568,1601924
193,2076896,2099148,6963924,8,475568,1607176
194,2085596,2099148,6963924,8,475568,1605840
195,2087304,2099148,6963924,8,475568,1603220
196,2082896,2099148,6963924,8,475568,1600324
197,2077384,2099148,6963924,8,475568,1613108
198,2086352,2099148,6963924,8,475568,1611292
200,2075756,2099148,6963924,8,475568,1613076
201,2082696,2099148,6963924,8,475568,1616976
202,2086116,2099148,6963924,8,475568,1607336
203,2081624,2099148,6963924,8,475568,1610824
204,2085368,2099148,6963924,8,475568,1608772
205,2084116,2099148,6963924,8,475568,1610396
