Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,2528,4008,18076,0,4,1576
1,165212,174704,6541432,0,129980,74596
2,564396,565112,6920636,0,431948,157620
3,710336,715096,6920636,0,431948,296332
5,858408,860516,6920636,0,431948,445944
6,1008780,1017008,6920636,0,431948,591740
7,1154792,1154792,6920636,0,431948,746756
8,1307348,1311396,6920636,0,431948,888440
9,1444548,1450604,6920636,0,431948,1027424
10,1599720,1599720,6920636,0,431948,1183496
12,1759416,1763184,6920636,0,431948,1340492
13,1911116,1911116,6920636,0,431948,1479168
14,2047920,2051724,6920636,0,431948,1632252
15,2097140,2099332,6920636,0,431948,1666936
16,2092780,2099332,6920636,0,431948,1661984
18,2096880,2099332,6920636,0,431948,1664132
19,2097588,2099332,6920636,0,431948,1665864
20,2097716,2099332,6920636,0,431948,1666080
21,2096860,2099332,6920636,0,431948,1665868
22,2097368,2099516,6920636,0,431948,1666148
24,2085852,2099516,6920636,0,432000,1652120
25,2081432,2099516,6920636,0,432000,1653528
26,2077152,2099516,6920636,0,432000,1651304
27,2078608,2099516,6920636,0,432000,1655360
28,2089224,2099516,6922188,0,433940,1653068
29,2085056,2099516,6922188,0,433940,1644836
30,2081200,2099516,6922188,0,433940,1649688
32,2081264,2099516,6922188,0,433940,1649532
33,2077260,2099516,6922188,0,433940,1645696
34,2083724,2099516,6922188,0,433940,1649116
35,2083148,2099516,6922188,0,433940,1647804
36,2091068,2099516,6922188,0,433940,1653768
37,2083456,2099516,6922188,0,433940,1658116
38,2084088,2099516,6922188,0,433940,1648296
40,2084052,2099516,6922188,0,433940,1654404
41,2084692,2099516,6922188,0,433940,1654920
42,2083580,2099516,6922188,0,433940,1650488
43,2080660,2099516,6922188,0,433940,1650276
44,2090880,2099516,6922188,0,433940,1644852
45,2076428,2099516,6922188,0,433940,1640616
46,2079692,2099516,6922188,0,433940,1644896
48,2084484,2099516,6922188,0,433940,1648024
49,2080540,2099516,6922188,0,433940,1652724
50,2078920,2099516,6922188,0,433940,1644928
51,2076784,2099516,6922188,0,433940,1643176
52,2085096,2099516,6922188,0,433940,1653228
53,2084504,2099516,6922188,0,433940,1651924
54,2084500,2099516,6922188,0,433940,1646812
56,2082796,2099516,6922188,0,433940,1643780
57,2083484,2099516,6922188,0,433940,1650196
58,2086692,2099516,6922188,0,433940,1652296
59,2084028,2099516,6922188,0,433940,1648556
60,2078296,2099516,6922188,0,433940,1649608
61,2085584,2099516,6922188,0,433940,1657524
62,2083760,2099516,6922188,0,433940,1644240
64,2085436,2099516,6922188,0,433940,1648012
65,2081216,2099516,6922188,0,433940,1649492
66,2078564,2099516,6922188,0,433940,1658380
67,2079940,2099516,6922188,0,433940,1647868
68,2086524,2099516,6922188,0,433940,1649264
69,2083260,2099516,6922188,0,433940,1649176
71,2077648,2099516,6922188,0,433940,1649448
72,2084656,2099516,6922188,0,433940,1652820
73,2091000,2099516,6922188,0,433940,1649228
74,2082824,2099516,6922188,0,433940,1653420
75,2086804,2099516,6922188,0,433940,1649824
76,2087948,2099516,6922188,0,433940,1651908
77,2087920,2099516,6922188,0,433940,1653104
79,2088040,2099516,6922188,0,433940,1655664
80,2074340,2099516,6922188,0,433940,1643664
81,2081416,2099516,6922188,0,433940,1650180
82,2090568,2099516,6922188,0,433940,1650908
83,2080756,2099516,6922188,0,433940,1645800
84,2079308,2099516,6922188,0,433940,1648220
86,2076304,2099516,6922188,0,433940,1645020
87,2081812,2099516,6922188,0,433940,1650404
88,2076336,2099516,6922188,0,433940,1645704
89,2082676,2099516,6922188,0,433940,1653428
90,2081852,2099516,6922188,0,433940,1649392
91,2084872,2099516,6922188,0,433940,1655176
93,2083204,2099516,6922188,0,433940,1653132
94,2078844,2099516,6922188,0,433940,1645448
95,2080412,2099516,6922188,0,433940,1646464
96,2085900,2099516,6922188,0,433940,1652476
97,2090352,2099516,6922188,0,433940,1651896
98,2078952,2099516,6922188,0,433940,1646360
99,2084108,2099516,6922188,0,433940,1650436
101,2090732,2099516,6922188,0,433940,1643488
102,2089480,2099516,6922188,0,433940,1649344
103,2088232,2099516,6922188,0,433940,1646204
104,2078064,2099516,6922188,0,433940,1647692
105,2087220,2099516,6922188,0,433940,1649932
106,2082312,2099516,6922188,0,433940,1646600
108,2088520,2099516,6922188,0,433940,1647760
109,2088204,2099516,6922188,0,433940,1648468
110,2083608,2099516,6922188,0,433940,1645240
111,2087932,2099516,6922188,0,433940,1650184
112,2089360,2099516,6922188,0,433940,1650860
113,2088628,2099516,6922188,0,433940,1648640
114,2081824,2099516,6922188,0,433940,1641884
115,2088720,2099516,6922188,0,433940,1646032
117,2086816,2099516,6922188,0,433940,1656892
118,2079860,2099516,6922188,0,433940,1645664
119,2084244,2099516,6922188,0,433940,1649132
120,2089312,2099516,6922188,0,433940,1655768
121,2083932,2099516,6922188,0,433940,1650256
122,2086376,2099516,6922188,0,433940,1648584
124,2078172,2099516,6922188,0,433940,1654084
125,2087248,2099516,6922188,0,433940,1654464
126,2081312,2099516,6922188,0,433940,1645896
127,2084556,2099516,6922188,0,433940,1649280
