Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,2544,3592,18076,0,324,6784
1,475304,480428,6889816,0,400708,77748
2,756840,764304,6889816,0,401124,387580
4,1049692,1056428,6889816,0,401124,683684
5,1350924,1356644,6889816,0,401124,978876
6,1645448,1652556,6889816,0,401124,1275652
7,1945420,1951240,6889816,0,401124,1570908
8,2097736,2099216,6889816,0,401124,1695980
9,2097208,2099216,6889816,0,401124,1696116
10,2097856,2099216,6889816,0,401124,1696448
12,2098548,2099320,6889816,0,401124,1696576
13,2080252,2099320,6889816,512,400664,1685948
14,2090752,2099320,6889816,508,400668,1678368
15,2082804,2099320,6889816,508,400668,1686408
16,2086304,2099320,6891368,468,402648,1683140
17,2080164,2099320,6891368,468,402648,1679456
19,2087828,2099320,6891368,468,402648,1676796
20,2079344,2099320,6891368,468,402648,1683396
21,2086100,2099320,6891368,468,402648,1686256
22,2083656,2099320,6891368,468,402648,1687456
23,2086252,2099320,6891368,468,402648,1683740
24,2084268,2099320,6891368,468,402648,1675356
25,2087084,2099320,6891368,468,402648,1678152
27,2081896,2099320,6891368,468,402648,1685992
28,2085108,2099320,6891368,468,402648,1679264
29,2088380,2099320,6891368,468,402648,1674228
30,2086952,2099320,6891368,468,402648,1679876
31,2075828,2099320,6891368,468,402648,1675560
32,2084916,2099320,6891368,468,402648,1682748
33,2086112,2099320,6891368,468,402648,1677084
35,2088064,2099320,6891368,468,402648,1683352
36,2088732,2099320,6891368,468,402648,1675708
37,2088024,2099320,6891368,468,402648,1680928
38,2087388,2099320,6891368,468,402648,1674076
39,2082632,2099320,6891368,468,402648,1687344
40,2082864,2099320,6891368,468,402648,1676908
41,2086960,2099320,6891368,468,402648,1677160
43,2077740,2099320,6891368,468,402648,1676768
44,2083572,2099320,6891368,468,402648,1676112
45,2082336,2099320,6891368,468,402648,1685096
46,2090376,2099320,6891368,468,402648,1681300
47,2087428,2099320,6891368,468,402648,1681796
48,2083568,2099320,6891368,468,402648,1680788
50,2077528,2099320,6891368,468,402648,1685032
51,2084208,2099320,6891368,468,402648,1678416
52,2084236,2099320,6891368,468,402648,1685860
53,2083160,2099320,6891368,468,402648,1677004
54,2080932,2099320,6891368,468,402648,1678336
55,2078436,2099320,6891368,468,402648,1682096
56,2088952,2099320,6891368,464,402652,1683224
58,2083076,2099320,6891368,464,402652,1684240
59,2087800,2099320,6891368,464,402652,1682792
60,2077988,2099320,6891368,464,402652,1675756
61,2089472,2099320,6891368,464,402652,1684456
62,2089948,2099320,6891368,464,402652,1675056
63,2084064,2099320,6891368,464,402652,1676116
65,2086144,2099320,6891368,464,402652,1673568
66,2075904,2099320,6891368,464,402652,1679076
67,2090948,2099320,6891368,464,402652,1686776
68,2085604,2099320,6891368,464,402652,1677444
69,2089580,2099320,6891368,460,402656,1681080
70,2075696,2099320,6891368,460,402656,1683656
71,2084060,2099320,6891368,460,402656,1681244
73,2081560,2099320,6891368,460,402656,1675812
74,2083772,2099320,6891368,460,402656,1681800
75,2078708,2099320,6891368,460,402656,1682612
76,2082828,2099320,6891368,460,402656,1675524
77,2079520,2099320,6891368,460,402656,1674272
78,2084972,2099320,6891368,460,402656,1682120
79,2088800,2099320,6891368,460,402656,1678572
81,2084780,2099320,6891368,460,402656,1679736
82,2077196,2099320,6891368,456,402660,1675296
83,2084548,2099320,6891368,456,402660,1682688
84,2083864,2099320,6891368,456,402660,1678652
85,2076700,2099320,6891368,456,402660,1671672
86,2085160,2099320,6891368,456,402660,1680992
88,2085052,2099320,6891368,456,402660,1676880
