Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
1,2176,2808,18076,0,780,3132
2,163764,170088,6534000,0,121612,74600
3,760956,774472,6882600,0,394236,413992
4,1547524,1561392,6882600,0,394236,1203032
5,2091136,2095632,6882600,0,394236,1697492
6,2091564,2095732,6882600,0,394236,1696288
7,2081188,2095732,6882600,0,394236,1695044
8,2080624,2095732,6882600,0,394236,1690728
10,2089412,2095732,6882600,0,394236,1684916
11,2084240,2095732,6882600,4,394236,1692284
12,2089424,2095732,6882600,0,394236,1691184
13,2077952,2095732,6882600,0,394236,1692836
14,2085384,2095732,6882600,0,394236,1685056
15,2089260,2095732,6882600,0,394236,1684660
16,2080700,2095732,6882600,0,394236,1694172
18,2088416,2095732,6882600,0,394236,1688972
19,2080604,2095732,6882600,0,394236,1690088
20,2085760,2095732,6882600,0,394236,1692292
21,2089412,2095732,6882600,0,394236,1689036
22,2085340,2095732,6882600,0,394236,1692372
23,2080560,2095732,6882600,0,394236,1686912
24,2083884,2095732,6882600,0,394236,1681660
25,2080452,2095732,6882600,0,394236,1696536
27,2085976,2095732,6882600,0,394236,1693244
28,2085524,2095732,6882600,0,394236,1691388
29,2086736,2095732,6882600,0,394236,1692392
30,2083224,2095732,6882600,0,394236,1688804
31,2086872,2095732,6882600,0,394236,1689812
32,2075476,2095732,6882600,0,394236,1678484
33,2079260,2095732,6882600,0,394236,1690692
34,2087080,2095732,6882600,0,394236,1686168
35,2084296,2095732,6882600,0,394236,1687976
37,2074776,2095732,6882600,0,394236,1687228
38,2080204,2095732,6882600,0,394236,1694304
39,2089984,2095732,6882600,0,394236,1690908
40,2084548,2095732,6882600,0,394236,1686264
41,2080296,2095732,6882600,0,394236,1690180
42,2080656,2095732,6882600,0,394236,1686364
43,2083612,2095732,6882600,0,394236,1688056
45,2092116,2095732,6882600,0,394236,1687848
46,2081488,2095732,6882600,0,394236,1686912
47,2085112,2095732,6882600,0,394236,1686736
48,2083760,2095732,6882600,0,394236,1689508
49,2086840,2097356,6882600,0,394236,1690016
50,2078740,2097356,6882600,0,394236,1688572
51,2083844,2097356,6882600,0,394236,1683460
52,2079072,2097356,6882600,0,394236,1686280
54,2081316,2097356,6882600,0,394236,1682184
55,2080912,2097356,6882600,0,394236,1683764
56,2076572,2097356,6882600,0,394236,1694552
57,2079064,2097356,6882600,0,394236,1686452
58,2082520,2097356,6882600,0,394236,1688808
59,2081632,2097356,6882600,0,394236,1686556
60,2088648,2097356,6882600,0,394236,1693756
62,2087396,2097356,6882600,0,394236,1692184
63,2080088,2097356,6882600,0,394236,1692012
64,2088760,2097356,6882600,0,394236,1688552
65,2088488,2097356,6882600,0,394236,1689276
66,2081832,2097356,6882600,0,394236,1687892
67,2078756,2097356,6882600,0,394236,1690420
68,2085488,2097356,6882600,0,394236,1686480
69,2083436,2097356,6882600,0,394236,1686880
71,2081588,2097356,6882600,0,394236,1675304
72,2085532,2097356,6882600,0,394236,1689680
73,2086232,2097356,6882600,0,394236,1689092
74,2082400,2097356,6882600,0,394236,1685340
75,2076572,2097356,6882600,0,394236,1688488
76,2087944,2097356,6882600,0,394236,1696032
77,2093988,2097356,6882600,0,394236,1690572
79,2081784,2097356,6882600,0,394236,1689620
80,2072248,2097356,6882600,0,394236,1689916
81,2091460,2097356,6882600,0,394236,1692884
82,2084860,2097356,6882600,0,394236,1687224
83,2081216,2097356,6882600,0,394236,1686128
84,2087560,2097356,6882600,0,394236,1681092
85,2081748,2097356,6882600,0,394236,1684244
87,2080828,2097356,6882600,0,394236,1690680
88,2075816,2097356,6882600,0,394236,1692548
89,2087244,2097356,6882600,0,394236,1683720
90,2085328,2097356,6882600,0,394236,1692220
91,2078008,2097356,6882600,0,394236,1693428
92,2072892,2097356,6882600,0,394236,1697048
93,2074684,2097356,6882600,0,394236,1690156
94,2078312,2097356,6882600,0,394236,1687524
96,2079564,2097356,6882600,0,394236,1680896
97,2080560,2097356,6882600,0,394236,1693364
98,2077892,2097356,6882600,0,394236,1687320
99,2083060,2097356,6882600,0,394236,1689456
100,2085220,2097356,6882600,0,394236,1691192
101,2085424,2097356,6882600,0,394236,1686436
103,2090848,2097356,6882600,0,394236,1690508
104,2082432,2097356,6882600,0,394236,1692276
105,2082984,2097356,6882600,0,394236,1685776
106,2085056,2097356,6882600,0,394236,1693464
107,2087072,2097356,6882600,0,394236,1683304
108,2081316,2097356,6882600,0,394236,1683652
109,2081692,2097356,6882600,0,394236,1692072
110,2082148,2097356,6882600,0,394236,1688524
112,2080688,2097356,6882600,0,394236,1693736
113,2076800,2097356,6882600,0,394236,1691140
114,2089676,2097356,6882600,0,394236,1682936
115,2083400,2097356,6882600,0,394236,1691208
116,2086844,2097356,6882600,0,394236,1692464
117,2086396,2097356,6882600,0,394236,1679732
118,2074260,2097356,6882600,0,394236,1693744
119,2084464,2097356,6882600,0,394236,1684828
121,2080792,2097356,6882600,0,394236,1685456
122,2077288,2097356,6882600,0,394236,1687744
123,2089472,2097356,6882600,0,394236,1694048
124,2081560,2097356,6882600,0,394236,1685704
125,2074208,2097356,6882600,0,394236,1688956
126,2086592,2097356,6882600,0,394236,1687624
127,2086376,2097356,6882600,0,394236,1687796
129,2083948,2097356,6882600,0,394236,1693876
130,2080120,2097356,6882600,0,394236,1691308
131,2085324,2097356,6882600,0,394236,1691852
132,2076724,2097356,6882600,0,394236,1691620
133,2088708,2097356,6882600,0,394236,1684196
134,2085100,2097356,6882600,0,394236,1685680
135,2087008,2097356,6882600,0,394236,1686060
136,2081224,2097356,6882600,0,394236,1692276
138,2084144,2097356,6882600,0,394236,1688164
139,2076868,2097356,6882600,0,394236,1688612
140,2080760,2097356,6882600,0,394236,1697120
141,2082204,2097356,6882600,0,394236,1689340
142,2076148,2097356,6882600,0,394236,1689608
143,2085204,2097356,6882600,0,394236,1690668
144,2084736,2097356,6882600,0,394236,1687388
146,2086252,2097356,6882600,0,394236,1687308
147,2086268,2097356,6882600,0,394236,1686568
148,2078812,2097356,6882600,0,394236,1694120
149,2087624,2097356,6882600,0,394236,1683988
150,2077724,2097356,6882600,0,394236,1681636
151,2090760,2097356,6882600,0,394236,1688300
152,2086692,2097356,6882600,0,394236,1681832
154,2083796,2097356,6882600,0,394236,1693204
155,2092324,2097356,6882600,0,394236,1689768
156,2083688,2097356,6882600,0,394236,1688424
157,2081412,2097356,6882600,0,394236,1689028
158,2085724,2097356,6882600,0,394236,1684572
159,2081064,2097356,6882600,0,394236,1686812
160,2088068,2097356,6882600,0,394236,1687076
162,2086532,2097356,6882600,0,394236,1694716
163,2079316,2097356,6882600,0,394236,1689340
164,2081928,2097356,6882600,0,394236,1692416
165,2084788,2097356,6882600,0,394236,1695224
166,2089300,2097356,6882600,0,394236,1678564
167,2085900,2097356,6882600,0,394236,1693452
168,2081392,2097356,6882600,0,394236,1688272
169,2080108,2097356,6882600,0,394236,1693944
171,2083004,2097356,6882600,0,394236,1689552
172,2084608,2097356,6882600,0,394236,1693652
173,2080252,2097356,6882600,0,394236,1692256
174,2079784,2097356,6882600,0,394236,1684956
175,2090240,2097356,6882600,0,394236,1694028
176,2085196,2097356,6882600,0,394236,1683712
177,2087912,2097356,6882600,0,394236,1688096
179,2077744,2097356,6882600,0,394236,1684340
180,2087376,2097356,6882600,0,394236,1689592
181,2077544,2097356,6882600,0,394236,1685560
182,2085560,2097356,6882600,0,394236,1687024
183,2082384,2097356,6882600,0,394236,1689648
184,2085068,2097356,6882600,0,394236,1686776
185,2089880,2097356,6882600,0,394236,1689620
186,2087732,2097356,6882600,0,394236,1683492
188,2085888,2097356,6882600,0,394236,1694528
189,2082348,2097356,6882600,0,394236,1691288
190,2084724,2097356,6882600,0,394236,1694028
191,2081704,2097356,6882600,0,394236,1694860
192,2081180,2097356,6882600,0,394236,1691340
193,2084644,2097356,6882600,0,394236,1685936
194,2085536,2097356,6882600,0,394236,1688084
196,2087216,2097356,6882600,0,394236,1691692
197,2083100,2097356,6882600,0,394236,1687908
198,2086404,2097356,6882600,0,394236,1683572
199,2075980,2097356,6882600,0,394236,1683748
200,2091156,2097356,6882600,0,394236,1687736
201,2086452,2097356,6882600,0,394236,1687188
202,2079052,2097356,6882600,0,394236,1687032
203,2076916,2097356,6882600,0,394236,1688864
205,2090680,2097356,6882600,0,394236,1696556
206,2086072,2097356,6882600,0,394236,1689216
